lhs,rhs,Q3
dQ17D,dQ21D,0.2144197169114981
dQ14S,dQ7A,0.1111389378230217
dQ14S,dQ18S,0.09711539435702687
dQ18S,dQ7A,0.09410768174381191
dQ13D,dQ18S,0.08906935869621813
dQ10D,dQ21D,0.08014858001821885
dQ12S,dQ1S,0.07744801685534006
dQ19A,dQ20A,0.06901423852338716
dQ10D,dQ17D,0.06630567889309714
dQ18S,dQ20A,0.06246834744695937
dQ10D,dQ16D,0.060526319367873
dQ7A,dQ9A,0.05867152965545584
dQ19A,dQ7A,0.05789685609869011
dQ14S,dQ1S,0.05626319464437082
dQ15A,dQ19A,0.05581056493344422
dQ18S,dQ19A,0.05329441928039361
dQ15A,dQ7A,0.03827886232898633
dQ16D,dQ17D,0.03700834751988023
dQ18S,dQ1S,0.02574014529803861
dQ19A,dQ1S,0.019736967539074737
dQ13D,dQ14S,0.01680047346374032
dQ15A,dQ9A,0.011407812318007174
dQ20A,dQ21D,0.006896469391698334
dQ11S,dQ14S,-1.2707541605013366e-5
dQ1S,dQ7A,-0.003723056392946508
dQ1S,dQ9A,-0.006817518835347793
dQ14S,dQ19A,-0.0073510396804099595
dQ14S,dQ9A,-0.014509078485629717
dQ11S,dQ12S,-0.017459649493410962
dQ16D,dQ21D,-0.01756311123387181
dQ1S,dQ20A,-0.017888091781739654
dQ14S,dQ15A,-0.02117396852418005
dQ16D,dQ7A,-0.02244265432756574
dQ14S,dQ16D,-0.023119567620056257
dQ12S,dQ19A,-0.02801012226311632
dQ12S,dQ13D,-0.028172693365026334
dQ10D,dQ11S,-0.02829726201391231
dQ15A,dQ20A,-0.03202748002618302
dQ13D,dQ7A,-0.034938962852705834
dQ11S,dQ1S,-0.03509512036660758
dQ12S,dQ20A,-0.03598220294491126
dQ15A,dQ1S,-0.03672107448187981
dQ12S,dQ9A,-0.03968791310896373
dQ12S,dQ17D,-0.0422844328215464
dQ15A,dQ18S,-0.043734243304245024
dQ10D,dQ12S,-0.04387084360208078
dQ18S,dQ9A,-0.04618918199217909
dQ20A,dQ7A,-0.04831524513349852
dQ19A,dQ9A,-0.050436482105462734
dQ13D,dQ1S,-0.05279425247243297
